Liste;No;unknown;Act;Domain;;;;;
BcAuthWhitelist2;1551799275;unknown;Add;153.45.78.212;212.87.54.351;;;;
BcNoSSLIntercept;1551799341;unknown;Add;153.45.78.212;212.87.54.351;;;;
BcAuthWhitelist2;1551799275;unknown;Add;153.45.78.84;48.87.54.351;;;;
BcNoSSLIntercept;1551799341;unknown;Add;153.45.78.84;48.87.54.351;;;;
BcNoSSLIntercept;1551799341;unknown;Add;212.120.33.106;601.33.021.212;;;;
BcAuthWhitelist2;1551799275;unknown;Add;81.255.139.219;912.931.552.18;;;;
BcNoSSLIntercept;1551799341;unknown;Add;81.255.139.219;912.931.552.18;;;;
BcAuthWhitelist2;1551799275;unknown;Add;www.la-samhna.de;ed.anhmas-al.www;;;;
BcAuthWhitelist2;1551799275;unknown;Add;torstatus.blutmagie.de;ed.eigamtulb.sutatsrot;;;;
BcAuthWhitelist2;1551799275;unknown;Add;www.transact-online.de;ed.enilno-tcasnart.www;;;;
BcNoSSLIntercept;1551799341;unknown;Add;www.transact-online.de;ed.enilno-tcasnart.www;;;;
BcAuthWhitelist2;1551799275;unknown;Add;mavenrepo.fzi.de;ed.izf.opernevam;;;;
BcAuthWhitelist2;1551799275;unknown;Add;deviceservice.webinm.de;ed.mnibew.ecivresecived;;;;
BcNoSSLIntercept;1551799341;unknown;Add;deviceservice.webinm.de;ed.mnibew.ecivresecived;;;;
BcAuthWhitelist2;1551799275;unknown;Add;jenkins.mirror.isppower.de;ed.rewoppsi.rorrim.sniknej;;;;
BcAuthWhitelist2;1551799275;unknown;Add;fornax.itemis.de;ed.simeti.xanrof;;;;
BcAuthWhitelist2;1551799275;unknown;Add;packages.icinga.org;gro.agnici.segakcap;;;;
BcAuthWhitelist2;1551799275;unknown;Add;mozilla.org;gro.allizom;;;;
BcAuthWhitelist2;1551799275;unknown;Add;repo.mongodb.org;gro.bdognom.oper;;;;
BcAuthWhitelist2;1551799275;unknown;Add;downloads-distro.mongodb.org;gro.bdognom.ortsid-sdaolnwod;;;;
BcAuthWhitelist2;1551799275;unknown;Add;godoc.org;gro.codog;;;;
BcNoSSLIntercept;1551799341;unknown;Add;godoc.org;gro.codog;;;;
BcAuthWhitelist2;1551799275;unknown;Add;pythonhosted.org;gro.detsohnohtyp;;;;
BcSitesViaIPv4;1551799275;unknown;Add;repo.maven.apache.org;gro.ehcapa.nevam.oper;;;;
