subnet_address;subnet_mask;subnet_last;subnet_gw;subnet_desc;subnet_domain;subnet_org;subnet_area;subnet_vlan;subnet_vdp;subnet_zone;subnet_color;subnet_sec;subnet_poll;subnet_alarm;subnet_report;date_added;date_seen;date_checked
001.000.000.000;255.255.254.0;001.000.001.255;undef;Blacklist_1.0.0.0;post.ch;RSP-Bern;postnet;undef;undef;undef;-;undef;0;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;0000-00-00 00:00:00
001.000.002.000;255.255.254.0;001.000.003.255;undef;Blacklist_1.0.2.0;post.ch;RSP-Bern;postnet;undef;undef;undef;-;---;0;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;0000-00-00 00:00:00
001.000.004.000;255.255.254.0;001.000.005.255;undef;Blacklist_1.0.4.0;post.ch;RSP-Bern;postnet;undef;undef;undef;-;---;0;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;0000-00-00 00:00:00
001.000.006.000;255.255.254.0;001.000.007.255;undef;Blacklist_1.0.6.0;post.ch;RSP-Bern;postnet;undef;undef;undef;-;---;0;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;0000-00-00 00:00:00
005.148.177.000;255.255.255.0;005.148.177.255;005.148.177.254;liwnkd-Fela;wn-eh-zf.post.ch;RSP-Bern;dmz;4207;wn.post.ch;undef;pink;---;0;0;0;2016-01-19 01:30:04;2019-02-08 01:40:12;0000-00-00 00:00:00
010.000.000.000;255.255.248.0;010.000.007.255;undef;liwnkd-Amazon;wn-eh-zf.post.ch;RSP-Bern;dmz;4202;wn.post.ch;undef;pink;---;0;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;0000-00-00 00:00:00
010.001.008.000;255.255.255.224;010.001.008.031;010.001.008.030;liehga-Transit_GA_FW;ix-eh.post.ch;RSP-Bern;dmz;0954;post.ch;undef;gray;---;0;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2015-11-11 03:05:02
010.001.010.000;255.255.255.224;010.001.010.031;undef;liehez-it-pnez-sap1;ix-eh.post.ch;RSP-Bern;dmz;1700;eh.post.ch;undef;darkgray;---;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-08 03:05:01
010.001.010.032;255.255.255.224;010.001.010.063;undef;liehez-it-pnez-evo;ix-eh.post.ch;RSP-Bern;dmz;1701;eh.post.ch;undef;darkgray;---;1;0;1;2016-10-05 01:30:03;2019-02-08 01:40:12;2019-02-08 03:05:03
010.001.010.064;255.255.255.224;010.001.010.095;undef;liehez-it-pnez-db1;ix-eh.post.ch;RSP-Bern;dmz;1702;eh.post.ch;undef;darkgray;---;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-08 03:05:03
010.001.010.096;255.255.255.224;010.001.010.127;010.001.010.126;liehez-it-pnez_evocc-a0;ix-eh.post.ch;RSP-Bern;dmz;1703;eh.post.ch;undef;gray;---;0;0;0;2018-05-03 01:30:03;2019-02-08 01:40:12;0000-00-00 00:00:00
010.001.010.128;255.255.255.224;010.001.010.159;undef;liehez-it-pnez-gb1;ix-eh.post.ch;RSP-Bern;dmz;1704;eh.post.ch;undef;darkgray;---;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-08 03:05:04
010.001.010.160;255.255.255.224;010.001.010.191;undef;liehez-it-pnez-gb2;ix-eh.post.ch;RSP-Bern;dmz;1705;eh.post.ch;undef;darkgray;---;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-08 03:05:04
010.001.010.192;255.255.255.224;010.001.010.223;undef;liehez-it-pnez-sb1;ix-eh.post.ch;RSP-Bern;dmz;1706;eh.post.ch;undef;darkgray;---;0;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;0000-00-00 00:00:00
010.001.010.224;255.255.255.224;010.001.010.255;010.001.010.254;liehez-it-pnez-dbs;ix-eh.post.ch;RSP-Bern;dmz;1751;eh.post.ch;undef;darkgray;---;0;0;0;2018-03-14 01:30:03;2019-02-08 01:40:12;0000-00-00 00:00:00
