date,time,query
01-Feb-2018,08:30:18.025,1-0-0ae0f17d
01-Feb-2018,08:37:09.924,0-0-0ae0f17d
01-Feb-2018,08:53:04.995,1-0-0ae2188b
01-Feb-2018,09:58:10.326,0-0-0ae2188b
01-Feb-2018,10:10:47.381,1-0-0ae2188b
01-Feb-2018,17:16:27.769,0-0-0ae2188b
01-Feb-2018,18:54:49.670,1-11-ac1528f6
01-Feb-2018,21:43:30.113,0-10-ac1528f6
01-Mar-2018,08:22:51.431,1-1-1-0ae2188b.v2
01-Mar-2018,11:52:57.978,0-29-1-0ae0f301.v2
01-Mar-2018,12:06:30.926,1-1-1-0ae2188b.v2
01-Mar-2018,12:48:10.273,0-1-1-0ae0f301.v2
01-Mar-2018,13:05:05.181,1-1-1-0ae2188b.v2
01-Mar-2018,17:14:13.949,0-1-1-0ae2188b.v2
01-Mar-2018,19:18:29.121,1-14-1-ac112885.v2
01-Mar-2018,22:02:16.124,0-14-1-ac112885.v2
02-Feb-2018,06:36:51.140,1-e-ac112d30
02-Feb-2018,07:34:41.926,0-e-ac112d30
02-Feb-2018,08:37:25.998,1-0-0ae2188b
02-Feb-2018,09:22:59.104,0-0-0ae2188b
02-Feb-2018,09:58:30.167,1-0-0ae2188b
02-Feb-2018,17:06:03.834,0-0-0ae2188b
02-Mar-2018,08:43:25.644,1-1-1-0ae2188b.v2
02-Mar-2018,11:24:00.133,0-2-1-0ae0f0f7.v2
02-Mar-2018,11:38:13.051,1-1-1-0ae2188b.v2
02-Mar-2018,17:43:29.781,0-1-1-0ae2188b.v2
03-Feb-2018,18:09:10.325,1-a-ac112d30
03-Feb-2018,18:57:37.868,0-e-ac112d30
03-Feb-2018,23:08:20.768,1-0-0ae2a03f
04-Feb-2018,08:46:26.947,0-0-0ae2a03f
04-Feb-2018,09:53:09.098,1-32-ac11282b
04-Feb-2018,21:51:51.683,0-16-ac11282b
04-Mar-2018,16:36:36.110,1-68-1-ac152f6a.v2
04-Mar-2018,16:51:08.610,0-37-1-ac152f6a.v2
04-Mar-2018,20:12:00.613,1-18-1-ac112b2e.v2
04-Mar-2018,22:10:51.709,0-17-1-ac112b2e.v2
05-Feb-2018,07:34:27.724,1-0-0ae2188b
05-Feb-2018,13:59:22.925,0-0-0ae2188b
05-Feb-2018,14:14:18.980,1-0-0ae0f2c0
05-Feb-2018,14:55:53.351,0-0-0ae0f2c0
05-Feb-2018,15:11:08.209,1-0-0ae2188b
05-Feb-2018,17:22:44.810,0-0-0ae2188b
05-Feb-2018,18:57:11.711,1-13-ac152a75
05-Feb-2018,21:23:48.025,0-24-ac152a75
05-Mar-2018,08:37:19.673,1-1-1-0ae2188b.v2
05-Mar-2018,18:11:55.517,0-1-1-0ae2188b.v2
05-Mar-2018,18:11:55.716,0-1-1-0ae2188b.v2
05-Mar-2018,20:46:20.909,1-26-1-ac152f6a.v2
05-Mar-2018,22:18:29.390,0-26-1-ac152f6a.v2
06-Feb-2018,07:25:21.249,1-0-0ae2188b
06-Feb-2018,14:01:16.717,0-0-0ae0f36e
06-Feb-2018,14:20:39.579,1-0-0ae0f36e
06-Feb-2018,15:23:39.155,0-0-0ae0f36e
06-Feb-2018,15:41:59.026,1-0-0ae2188b
06-Feb-2018,16:50:41.341,0-0-0ae0f36e
06-Feb-2018,17:06:49.395,1-0-0ae2188b
06-Feb-2018,18:07:08.768,0-0-0ae2188b
06-Feb-2018,19:51:51.867,1-0-ac1129a2
06-Feb-2018,22:36:10.707,0-0-ac1129a2
06-Mar-2018,08:41:07.390,1-25-1-ac152f6a.v2
06-Mar-2018,08:52:54.216,0-21-1-ac152f6a.v2
06-Mar-2018,09:09:00.281,1-161-1-ac112b2e.v2
06-Mar-2018,11:51:52.187,1-19-1-ac112b2e.v2
06-Mar-2018,16:53:23.631,0-14-189-ac112b2e.v2
06-Mar-2018,19:27:17.652,1-23-10-ac152f6a.v2
06-Mar-2018,23:31:03.598,0-20-154-ac152f6a.v2
07-Feb-2018,07:36:01.726,1-0-0ae2188b
07-Feb-2018,16:57:28.239,0-39-0ae0f36e
07-Feb-2018,17:25:47.313,1-0-0ae2188b
07-Feb-2018,17:39:08.450,0-0-0ae2188b
07-Feb-2018,19:50:48.363,1-f-ac1129a2
07-Feb-2018,22:49:06.911,0-10-ac1129a2
07-Mar-2018,08:24:26.934,1-18-33-ac112b2e.v2
07-Mar-2018,15:55:15.551,0-17-285-ac112b2e.v2
07-Mar-2018,18:02:39.611,1-14-8-ac112b2e.v2
07-Mar-2018,20:58:13.176,0-13-112-ac112b2e.v2
08-Feb-2018,07:33:20.163,1-0-0ae2188b
08-Feb-2018,14:16:35.657,0-0-0ae2188b
08-Feb-2018,14:35:16.715,1-0-0ae0f015
08-Feb-2018,18:07:38.319,0-0-0ae2188b
08-Feb-2018,20:37:15.461,1-1c-ac152cd6
08-Feb-2018,22:56:58.266,0-13-ac152cd6
08-Mar-2018,08:37:43.689,1-18-46-ac112b2e.v2
08-Mar-2018,16:20:38.807,0-16-287-ac112b2e.v2
08-Mar-2018,18:35:01.854,1-21-8-ac152975.v2
08-Mar-2018,18:51:54.394,0-19-11-ac152975.v2
08-Mar-2018,19:08:27.365,1-23-1-ac152975.v2
08-Mar-2018,21:49:17.542,0-22-99-ac152975.v2
