date,time,duration,in_bytes,out_bytes
2018-02-14,22:03:00,113275,25364267,514329
2018-02-14,22:04:00,65641.4,66498730,2046590
2018-02-14,22:05:00,45419.8,60861098,1870015
2018-02-14,22:06:00,82200.6,40861548,964977
2018-02-14,22:07:00,170167,20936872,1379767
2018-02-14,22:08:00,118441,10598872,1202836
2018-02-14,22:09:00,101146,3542154,1084151
2018-02-14,22:10:00,51840,3028084,992355
2018-02-14,22:11:00,88646.8,5990830,769699
2018-02-14,22:12:00,26255.3,14919284,1129452
2018-02-14,22:13:00,110688,18114967,1134819
2018-02-14,22:14:00,95502.6,5350398,956895
2018-02-14,22:15:00,29923.6,12243187,1611363
2018-02-14,22:16:00,54735.7,11171477,1587429
2018-02-14,22:17:00,55520.2,15731632,1271086
2018-02-14,22:18:00,98681.9,8320709,1414059
2018-02-14,22:19:00,82702.1,10935658,1157347
2018-02-14,22:20:00,121582,8436965,1414719
2018-02-14,22:21:00,29368.4,27107122,1946053
2018-02-14,22:22:00,195529,12641721,1058294
2018-02-14,22:23:00,27102.2,21055523,1315922
2018-02-14,22:24:00,105948,21386466,1340168
2018-02-14,22:25:00,112299,9501989,1252475
2018-02-14,22:26:00,177482,8360762,1037876
2018-02-14,22:27:00,168672,6744453,1049948
2018-02-14,22:28:00,183386,2415158,908390
2018-02-14,22:29:00,77630.9,14939439,1075734
2018-02-14,22:30:00,69430.9,15854842,700644
2018-02-14,22:31:00,43431.2,6774853,1033068
2018-02-14,22:32:00,135511,6682458,957348
2018-02-14,22:33:00,81113.4,14395295,1065134
2018-02-14,22:34:00,71590.5,13647045,1456216
2018-02-14,22:35:00,45100.4,382319678,1631660
2018-02-14,22:36:00,31589.7,84851419,2741371
2018-02-14,22:37:00,45439.7,58404569,1837054
2018-02-14,22:38:00,38827.2,43639220,1149529
2018-02-14,22:39:00,80047.9,51699230,2352335
2018-02-14,22:40:00,72577.6,47894151,1246948
2018-02-14,22:41:00,77427.8,61286892,2025452
2018-02-14,22:42:00,57660.3,47639373,2632149
2018-02-14,22:43:00,20236.8,53342580,3296102
2018-02-14,22:44:00,31245.7,71329606,3718650
2018-02-14,22:45:00,42019.2,67807360,1738672
2018-02-14,22:46:00,65178.9,89787332,1732233
2018-02-14,22:47:00,58947.9,74138863,1351190
2018-02-14,22:48:00,83677.7,53043535,1177007
2018-02-14,22:49:00,46489,54665717,1697560
2018-02-14,22:50:00,46143.9,45718924,1087967
2018-02-14,22:51:00,42817.9,68125389,1200036
2018-02-14,22:52:00,101653,67072482,1294593
2018-02-14,22:53:00,151469,57322650,933984
2018-02-14,22:54:00,291809,58689701,1266311
2018-02-14,22:55:00,156699,37342571,817754
2018-02-14,22:56:00,66189.7,57764178,860189
2018-02-14,22:57:00,157262,52982400,1252023
2018-02-14,22:58:00,118769,73728991,1578175
2018-02-14,22:59:00,156253,55318034,1240336
2018-02-14,23:00:00,79888,51160169,788015
2018-02-14,23:01:00,126291,61768467,1742042
2018-02-14,23:02:00,61709.5,107194618,1330637
2018-02-14,23:03:00,65307.8,56093192,898566
2018-02-14,23:04:00,78363.7,50063812,1887300
2018-02-14,23:05:00,101225,78325418,1490127
2018-02-14,23:06:00,157001,62739340,906496
2018-02-14,23:07:00,194347,77528391,1351812
2018-02-14,23:08:00,121749,55793637,1679443
2018-02-14,23:09:00,43288.3,75143785,1162736
2018-02-14,23:10:00,85496.4,141019205,1124502
2018-02-14,23:11:00,76899.1,52076020,650825
2018-02-14,23:12:00,90761.2,91501717,1418119
2018-02-14,23:13:00,112420,73339768,1403649
2018-02-14,23:14:00,62524.8,90516464,1655618
2018-02-14,23:15:00,52173.4,124313645,1774243
2018-02-14,23:16:00,31978.9,115735191,1803831
2018-02-14,23:17:00,116621,73462737,1468766
2018-02-14,23:18:00,24874.3,79407173,2959375
2018-02-14,23:19:00,103638,77859141,1905083
2018-02-14,23:20:00,87240.9,78399218,2307144
2018-02-14,23:21:00,91027.1,85972127,1709971
2018-02-14,23:22:00,104330,49909762,1409428
2018-02-14,23:23:00,56707.7,23470249,2504258
2018-02-14,23:24:00,50569,45148604,2346587
2018-02-14,23:25:00,28438.2,23175168,2129074
2018-02-14,23:26:00,81924.1,15503934,1565072
2018-02-14,23:27:00,24834,24858386,1085938
2018-02-14,23:28:00,22296.3,34628034,2290824
2018-02-14,23:29:00,37212.7,21267683,1781527
2018-02-14,23:30:00,43589.4,20192281,1629082
2018-02-14,23:31:00,54770.8,23515601,1026806
2018-02-14,23:32:00,76069.4,20121903,1207791
2018-02-14,23:33:00,58583.3,19898021,1024126
2018-02-14,23:34:00,72857.4,21781530,1290398
2018-02-14,23:35:00,107207,31452572,1177574
2018-02-14,23:36:00,91230.2,19376751,1160277
2018-02-14,23:37:00,90554.7,26958594,800353
2018-02-14,23:38:00,171052,15369114,781915
2018-02-14,23:39:00,149121,13824068,1151829
2018-02-14,23:40:00,69933.1,28370564,2038025
2018-02-14,23:41:00,31798.3,198454420,1304795
2018-02-14,23:42:00,52370,32396635,1137185
2018-02-14,23:43:00,53044.9,16591765,1439409
2018-02-14,23:44:00,81938.2,12325462,808240
2018-02-14,23:45:00,62232.8,13257033,929767
2018-02-14,23:46:00,140532,17888408,752318
2018-02-14,23:47:00,196166,29366817,781738
2018-02-14,23:48:00,212792,13068068,975338
2018-02-14,23:49:00,115946,16441397,934340
2018-02-14,23:50:00,30472.6,16726479,1357581
2018-02-14,23:51:00,70346.9,18489803,803790
2018-02-14,23:52:00,146959,96431877,1272139
2018-02-14,23:53:00,65738.1,35045694,1117987
2018-02-14,23:54:00,181642,124168062,1663676
2018-02-14,23:55:00,62417.6,17382605,1430757
2018-02-14,23:56:00,55108.3,15736647,1108980
2018-02-14,23:57:00,98708.6,32898992,1878486
2018-02-14,23:58:00,33133.4,34078508,2147723
2018-02-15,23:59:00,58910.3,36428518,2864743
2018-02-15,00:00:00,95300.5,27772781,2427004
2018-02-15,00:01:00,68427.1,60322007,1920685
2018-02-15,00:02:00,39956.3,23616526,1368668
2018-02-15,00:03:00,32540,142089928,1185139
2018-02-15,00:04:00,431764,14977430,1124542
2018-02-15,00:05:00,79912.2,18864975,1234272
2018-02-15,00:06:00,51515.7,9565353,996849
2018-02-15,00:07:00,299780,6010321,1905215
2018-02-15,00:08:00,145912,20756636,1749568
2018-02-15,00:09:00,91346.5,19522337,1995838
2018-02-15,00:10:00,241806,47914085,2022356
2018-02-15,00:11:00,366050,26687370,2709624
2018-02-15,00:12:00,94897.5,17026769,1591415
2018-02-15,00:13:00,62826.5,17505267,1662550
2018-02-15,00:14:00,154051,15578003,1202819
2018-02-15,00:15:00,188725,16500605,2078302
2018-02-15,00:16:00,47872.3,143983663,3318934
2018-02-15,00:17:00,145743,19392252,921370
2018-02-15,00:18:00,49057.5,13338737,769914
2018-02-15,00:19:00,139089,18585030,1136104
2018-02-15,00:20:00,85846.1,38779540,1046447
2018-02-15,00:21:00,53919.3,25901361,1215486
2018-02-15,00:22:00,60951.7,29121923,903437
2018-02-15,00:23:00,87192.8,13189162,739997
2018-02-15,00:24:00,155503,179086805,799017
2018-02-15,00:25:00,440298,18307507,835277
2018-02-15,00:26:00,177996,18038601,1046867
2018-02-15,00:27:00,190359,15363394,859702
2018-02-15,00:28:00,128359,26928938,977880
2018-02-15,00:29:00,243837,18150739,1243917
2018-02-15,00:30:00,30470.8,18438240,1049353
2018-02-15,00:31:00,111179,17876801,748377
2018-02-15,00:32:00,103365,13795443,716851
2018-02-15,00:33:00,61925.8,24579627,1626921
2018-02-15,00:34:00,172713,21455216,1101236
2018-02-15,00:35:00,88577.9,21009475,808849
2018-02-15,00:36:00,101220,30267909,961493
2018-02-15,00:37:00,47324.7,52360323,1267453
2018-02-15,00:38:00,236780,48521288,1932501
2018-02-15,00:39:00,62132.4,40903447,1097291
2018-02-15,00:40:00,101439,42318261,1099204
2018-02-15,00:41:00,45774.4,50641306,3446525
2018-02-15,00:42:00,312010,36143123,834805
2018-02-15,00:43:00,56804.9,54231780,983086
2018-02-15,00:44:00,106628,50456402,1360142
2018-02-15,00:45:00,64570.1,41511821,1097810
2018-02-15,00:46:00,58573,48675616,1359500
2018-02-15,00:47:00,72027.3,36929826,908210
2018-02-15,00:48:00,74311.1,35899473,1265265
2018-02-15,00:49:00,53964.7,46578027,1469990
2018-02-15,00:50:00,92358.9,41780414,875929
2018-02-15,00:51:00,95485.6,42599707,1143797
2018-02-15,00:52:00,13985.1,45490984,1973453
2018-02-15,00:53:00,22086.4,25651573,1148849
2018-02-15,00:54:00,67843.3,17349691,987033
2018-02-15,00:55:00,26083,45396667,1777088
2018-02-15,00:56:00,27936.1,20918840,1821382
2018-02-15,00:57:00,71742,27357081,2111680
2018-02-15,00:58:00,36417,36943422,2286054
2018-02-15,00:59:00,81204.8,44895541,1182431
2018-02-15,01:00:00,59514.9,53761251,1875882
2018-02-15,01:01:00,106555,39375330,871943
2018-02-15,01:02:00,62428.6,51155866,1930265
2018-02-15,01:03:00,110523,57388621,1986489
2018-02-15,01:04:00,89221.8,51739978,1227886
2018-02-15,01:05:00,55184,62774649,1239125
2018-02-15,01:06:00,52581.3,97575220,1997493
2018-02-15,01:07:00,109340,52120480,1358534
2018-02-15,01:08:00,97059.2,53735817,1525460
2018-02-15,01:09:00,48389.9,60967249,1908356
2018-02-15,01:10:00,77959.9,54587659,745541
2018-02-15,01:11:00,68398.2,57234195,854716
2018-02-15,01:12:00,48770.3,50373229,807264
2018-02-15,01:13:00,70713.1,60991989,2357832
2018-02-15,01:14:00,51680.8,47569736,1061201
